Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks*,43,-0.87,-0.67,109.3,110.2,-0.9,.493,.516
Boston Celtics*,48,0.89,0.93,108.7,107.8,+0.9,.495,.479
Charlotte Hornets*,44,-0.24,-0.02,109.5,109.7,-0.2,.499,.487
Chicago Bulls*,57,6.29,6.19,112.9,106.1,+6.8,.499,.493
Cleveland Cavaliers*,54,6.45,6.30,112.7,106.0,+6.7,.518,.482
Dallas Mavericks,11,-15.20,-14.68,99.5,114.7,-15.2,.455,.519
Denver Nuggets,36,-1.74,-2.14,104.6,106.3,-1.7,.470,.476
Detroit Pistons,40,-1.39,-1.10,107.4,108.9,-1.5,.473,.500
Golden State Warriors,34,-0.99,-0.94,109.2,110.2,-1.0,.502,.501
Houston Rockets*,55,4.23,3.57,109.6,105.2,+4.4,.515,.474
Indiana Pacers*,41,1.70,1.77,111.9,110.1,+1.8,.498,.485
Los Angeles Clippers*,41,0.35,0.33,107.4,107.1,+0.3,.493,.489
Los Angeles Lakers*,39,-1.27,-1.20,107.6,108.9,-1.3,.486,.500
Miami Heat,36,-1.15,-0.93,107.7,108.9,-1.2,.481,.495
Milwaukee Bucks,28,-3.73,-3.26,106.2,110.1,-3.9,.495,.502
Minnesota Timberwolves,19,-7.78,-7.62,103.6,111.8,-8.2,.479,.503
New Jersey Nets*,43,1.26,1.20,106.5,105.2,+1.3,.473,.480
New York Knicks*,60,6.16,5.87,106.1,99.7,+6.4,.479,.444
Orlando Magic,41,1.32,1.35,108.5,107.1,+1.4,.509,.473
Philadelphia 76ers,26,-5.77,-5.25,104.6,110.4,-5.8,.479,.504
Phoenix Suns*,62,6.66,6.27,113.3,106.7,+6.6,.521,.496
Portland Trail Blazers*,51,3.11,2.92,108.3,105.2,+3.1,.476,.488
Sacramento Kings,25,-3.17,-3.00,106.5,109.6,-3.1,.481,.502
San Antonio Spurs*,49,2.67,2.21,109.6,106.8,+2.8,.507,.477
Seattle SuperSonics*,55,7.07,6.66,112.3,104.9,+7.4,.502,.489
Utah Jazz*,47,2.17,1.74,109.6,107.4,+2.2,.498,.487
Washington Bullets,22,-7.04,-6.49,103.6,110.8,-7.2,.480,.510
