Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks,30,-4.76,-4.86,103.0,108.3,-5.3,.471,.503
Boston Celtics,24,-3.41,-3.70,103.2,106.9,-3.7,.479,.502
Charlotte Bobcats,33,-3.74,-3.97,103.6,107.6,-4.0,.480,.500
Chicago Bulls*,49,5.01,4.52,104.9,99.6,+5.3,.493,.473
Cleveland Cavaliers*,50,3.83,3.33,105.5,101.3,+4.2,.484,.480
Dallas Mavericks*,67,7.22,7.28,111.3,103.2,+8.1,.509,.477
Denver Nuggets*,45,1.62,1.69,107.6,105.9,+1.7,.501,.499
Detroit Pistons*,53,4.16,3.69,108.9,104.2,+4.7,.488,.477
Golden State Warriors*,42,-0.34,0.00,107.0,107.4,-0.4,.512,.506
Houston Rockets*,52,4.85,5.04,106.0,100.7,+5.3,.499,.466
Indiana Pacers,35,-2.44,-2.62,102.9,105.5,-2.6,.474,.491
Los Angeles Clippers,40,-0.46,-0.07,105.1,105.6,-0.5,.481,.488
Los Angeles Lakers*,42,-0.07,0.24,108.6,108.6,0.0,.511,.500
Memphis Grizzlies,22,-5.15,-4.44,106.9,112.3,-5.4,.504,.529
Miami Heat*,44,-0.91,-1.21,104.3,105.3,-1.0,.506,.485
Milwaukee Bucks,28,-4.38,-4.43,107.0,111.7,-4.7,.504,.522
Minnesota Timberwolves,32,-3.67,-3.16,103.9,107.9,-4.0,.490,.498
New Jersey Nets*,41,-0.77,-1.00,105.7,106.6,-0.9,.504,.490
New Orleans/Oklahoma City Hornets,39,-1.57,-1.19,104.8,106.5,-1.7,.479,.499
New York Knicks,33,-2.85,-3.06,105.7,108.8,-3.1,.494,.504
Orlando Magic*,40,0.78,0.35,104.9,104.1,+0.8,.500,.480
Philadelphia 76ers,35,-3.02,-3.26,103.6,106.9,-3.3,.480,.501
Phoenix Suns*,61,7.30,7.28,113.9,106.4,+7.5,.551,.492
Portland Trail Blazers,32,-4.29,-3.78,105.1,109.9,-4.8,.483,.508
Sacramento Kings,33,-1.80,-1.35,106.2,108.0,-1.8,.491,.513
San Antonio Spurs*,58,8.43,8.35,109.2,99.9,+9.3,.521,.471
Seattle SuperSonics,31,-2.89,-2.45,107.2,110.3,-3.1,.499,.515
Toronto Raptors*,47,0.99,0.61,107.0,106.0,+1.0,.504,.503
Utah Jazz*,51,2.87,3.06,110.1,107.0,+3.1,.502,.496
Washington Wizards*,41,-0.51,-0.80,110.1,110.6,-0.5,.491,.517
