Season,Team,W,Standing,MOV,MOV_Rank,SRS,SRS_Rank,ORTG,ORTG_Rank,DRTG,DRTG_Rank,NRTG,NRTG_Rank,eFG,eFG_Rank,Opp_eFG,Opp_eFG_Rank,Outcome
2014,Atlanta Hawks,38,16,-0.48,15,-0.88,14,105.9,13,106.4,13,-0.5,15,0.515,8,0.51,3,1
2014,Brooklyn Nets,44,13,-1,16,-1.58,16,106.7,10,107.7,15,-1,16,0.514,9,0.509,4,2
2014,Charlotte Bobcats,43,15,-0.22,14,-0.89,15,103.6,15,103.8,5,-0.2,14,0.481,15,0.491,8,1
2014,Chicago Bulls,48,11,1.85,11,1.2,12,102.5,16,100.5,2,2,11,0.471,16,0.471,15,1
2014,Dallas Mavericks,49,10,2.4,10,2.91,9,111.2,3,108.7,16,2.5,10,0.526,4,0.515,1,1
2014,Golden State Warriors,51,8,4.8,4,5.15,4,107.5,9,102.6,4,4.9,5,0.517,7,0.477,14,1
2014,Houston Rockets,54,5,4.56,6,5.06,5,111,4,106.3,12,4.7,7,0.531,3,0.489,9,1
2014,Indiana Pacers,56,4,4.4,7,3.63,8,104.1,14,99.3,1,4.8,6,0.49,14,0.46,16,3
2014,Los Angeles Clippers,57,3,6.98,2,7.27,2,112.1,1,104.8,9,7.3,2,0.526,4,0.484,12,2
2014,Memphis Grizzlies,50,9,1.57,12,2.18,11,106.3,11,104.6,7,1.7,12,0.494,13,0.497,6,1
2014,Miami Heat,54,5,4.76,5,4.15,7,110.9,5,105.8,11,5.1,4,0.554,1,0.511,2,4
2014,Oklahoma City Thunder,59,2,6.34,3,6.66,3,110.5,6,103.9,6,6.6,3,0.52,6,0.488,10,3
2014,Portland Trail Blazers,54,5,3.99,8,4.44,6,111.5,2,107.4,14,4.1,8,0.504,11,0.488,10,2
2014,San Antonio Spurs,62,1,7.72,1,8,1,110.5,6,102.4,3,8.1,1,0.537,2,0.482,13,5
2014,Toronto Raptors,48,11,3.24,9,2.55,10,108.8,8,105.3,10,3.5,9,0.498,12,0.493,7,1
2014,Washington Wizards,44,13,1.27,13,0.48,13,106,12,104.6,7,1.4,13,0.506,10,0.504,5,2
