Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks*,46,1.22,1.29,109.4,108.0,+1.4,.490,.512
Boston Celtics,33,-3.40,-3.37,106.4,109.9,-3.5,.494,.511
Charlotte Hornets,41,-0.57,-0.48,111.2,111.8,-0.6,.514,.529
Chicago Bulls*,72,12.24,11.80,115.2,101.8,+13.4,.517,.482
Cleveland Cavaliers*,47,2.59,2.49,109.9,106.7,+3.2,.510,.506
Dallas Mavericks,26,-4.90,-4.71,106.1,111.2,-5.1,.470,.526
Denver Nuggets,35,-2.71,-2.62,105.2,108.1,-2.9,.481,.492
Detroit Pistons*,46,2.50,2.45,107.9,105.1,+2.8,.504,.483
Golden State Warriors,36,-1.45,-1.42,108.4,109.9,-1.5,.489,.510
Houston Rockets*,48,1.74,1.63,109.3,107.4,+1.9,.512,.495
Indiana Pacers*,52,3.24,3.11,110.8,107.2,+3.6,.509,.491
Los Angeles Clippers,29,-3.60,-3.46,106.5,110.3,-3.8,.511,.512
Los Angeles Lakers*,53,4.45,4.21,111.4,106.6,+4.8,.515,.491
Miami Heat*,42,1.43,1.46,105.3,103.8,+1.5,.501,.469
Milwaukee Bucks,25,-5.30,-4.92,105.6,111.5,-5.9,.495,.520
Minnesota Timberwolves,26,-5.35,-5.14,104.1,109.8,-5.7,.480,.509
New Jersey Nets,30,-4.23,-4.14,101.9,106.5,-4.6,.445,.495
New York Knicks*,47,2.32,2.24,106.0,103.5,+2.5,.509,.476
Orlando Magic*,60,5.56,5.40,112.9,106.9,+6.0,.529,.491
Philadelphia 76ers,18,-10.00,-9.45,102.2,113.0,-10.8,.474,.522
Phoenix Suns*,41,0.33,0.28,110.3,110.0,+0.3,.498,.511
Portland Trail Blazers*,44,2.35,2.21,106.0,103.5,+2.5,.494,.478
Sacramento Kings*,39,-2.71,-2.62,106.2,109.1,-2.9,.493,.498
San Antonio Spurs*,59,6.30,5.98,110.2,103.5,+6.7,.516,.472
Seattle SuperSonics*,64,7.79,7.40,110.3,102.1,+8.2,.526,.479
Toronto Raptors,21,-7.51,-7.20,103.8,111.8,-8.0,.499,.514
Utah Jazz*,55,6.59,6.25,113.3,106.1,+7.2,.517,.489
Vancouver Grizzlies,15,-9.98,-9.55,97.6,108.5,-10.9,.456,.510
Washington Bullets,39,1.06,0.99,108.7,107.6,+1.1,.521,.489
