Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks,28,-5.38,-5.41,102.0,107.9,-5.9,.460,.481
Boston Celtics,35,-0.76,-1.00,104.8,105.6,-0.8,.474,.498
Charlotte Hornets*,49,2.67,2.33,104.3,101.4,+2.9,.475,.478
Chicago Bulls,17,-9.40,-9.23,94.2,104.6,-10.4,.443,.484
Cleveland Cavaliers,32,-3.50,-3.64,100.4,104.0,-3.6,.468,.474
Dallas Mavericks,40,-0.57,-0.29,106.6,107.2,-0.6,.490,.488
Denver Nuggets,35,-2.12,-1.76,103.5,105.8,-2.3,.476,.479
Detroit Pistons*,42,1.44,1.13,107.3,105.8,+1.5,.492,.499
Golden State Warriors,19,-8.27,-7.63,99.8,108.4,-8.6,.444,.499
Houston Rockets,34,-0.87,-0.57,104.8,105.7,-0.9,.494,.481
Indiana Pacers*,56,4.60,4.15,108.5,103.6,+4.9,.503,.469
Los Angeles Clippers,15,-11.52,-10.73,97.8,110.1,-12.3,.458,.507
Los Angeles Lakers*,67,8.55,8.41,107.3,98.2,+9.1,.484,.443
Miami Heat*,52,3.11,2.75,104.5,101.0,+3.5,.495,.453
Milwaukee Bucks*,42,0.22,-0.06,108.2,107.9,+0.3,.494,.496
Minnesota Timberwolves*,50,2.52,2.67,106.1,103.4,+2.7,.485,.474
New Jersey Nets,31,-1.04,-1.18,105.1,106.3,-1.2,.468,.491
New York Knicks*,50,1.46,1.30,102.5,100.9,+1.6,.482,.455
Orlando Magic,41,0.68,0.43,102.4,101.7,+0.7,.473,.476
Philadelphia 76ers*,49,1.34,1.02,101.5,100.0,+1.5,.457,.466
Phoenix Suns*,53,5.22,5.24,104.6,99.0,+5.6,.491,.454
Portland Trail Blazers*,59,6.40,6.36,107.9,100.8,+7.1,.501,.461
Sacramento Kings*,44,2.91,3.04,105.0,102.1,+2.9,.486,.479
San Antonio Spurs*,53,5.94,5.92,105.0,98.6,+6.4,.488,.451
Seattle SuperSonics*,45,0.95,1.17,105.6,104.6,+1.0,.487,.483
Toronto Raptors*,45,-0.16,-0.46,104.7,104.9,-0.2,.464,.480
Utah Jazz*,55,4.46,4.52,107.3,102.3,+5.0,.490,.477
Vancouver Grizzlies,22,-5.62,-5.10,102.3,108.5,-6.2,.474,.502
Washington Wizards,29,-3.28,-3.47,103.5,107.0,-3.5,.476,.489
