Team,W,MOV,SRS,ORtg,DRtg,NRtg,eFG%,Opp_eFG%
Atlanta Hawks*,37,-1.82,-2.23,106.9,108.9,-2.0,.483,.501
Boston Celtics*,66,10.26,9.30,110.2,98.9,+11.3,.522,.457
Charlotte Bobcats,32,-4.38,-4.49,104.6,109.4,-4.8,.492,.505
Chicago Bulls,33,-3.09,-3.19,103.9,107.2,-3.3,.470,.496
Cleveland Cavaliers*,45,-0.35,-0.53,106.0,106.4,-0.4,.480,.494
Dallas Mavericks*,51,4.54,4.70,111.1,106.1,+5.0,.502,.474
Denver Nuggets*,50,3.71,3.74,110.0,106.3,+3.7,.510,.499
Detroit Pistons*,59,7.39,6.67,111.4,102.9,+8.5,.495,.470
Golden State Warriors,48,2.21,2.38,111.8,109.5,+2.3,.511,.509
Houston Rockets*,55,4.68,4.83,106.8,101.6,+5.2,.492,.465
Indiana Pacers,36,-1.40,-1.87,106.0,107.5,-1.5,.498,.498
Los Angeles Clippers,23,-7.27,-6.56,101.2,109.1,-7.9,.465,.503
Los Angeles Lakers*,57,7.26,7.34,113.0,105.5,+7.5,.525,.485
Memphis Grizzlies,22,-6.21,-5.76,105.0,111.4,-6.4,.500,.521
Miami Heat,15,-8.65,-8.53,100.5,110.0,-9.5,.482,.510
Milwaukee Bucks,26,-6.89,-6.92,105.3,112.8,-7.5,.482,.524
Minnesota Timberwolves,22,-6.78,-6.26,103.8,111.2,-7.4,.484,.513
New Jersey Nets,34,-5.06,-5.15,104.0,109.4,-5.4,.481,.497
New Orleans Hornets*,56,5.28,5.46,111.5,105.7,+5.8,.512,.501
New York Knicks,23,-6.61,-6.55,104.7,111.9,-7.2,.475,.518
Orlando Magic*,52,5.46,4.79,111.3,105.5,+5.8,.537,.484
Philadelphia 76ers*,40,0.41,0.19,106.4,106.0,+0.4,.482,.504
Phoenix Suns*,55,5.05,5.14,113.3,108.1,+5.2,.551,.488
Portland Trail Blazers,41,-0.98,-0.52,107.3,108.4,-1.1,.489,.491
Sacramento Kings,38,-2.26,-1.86,107.5,109.9,-2.4,.503,.510
San Antonio Spurs*,56,4.79,5.10,107.2,101.8,+5.4,.504,.477
Seattle SuperSonics,20,-8.76,-8.04,100.5,109.5,-9.0,.467,.503
Toronto Raptors*,41,2.90,2.47,110.2,107.0,+3.2,.511,.505
Utah Jazz*,54,6.88,6.86,113.8,106.5,+7.3,.528,.501
Washington Wizards*,43,-0.33,-0.61,109.2,109.6,-0.4,.489,.513
