Team,outcome
New York Knicks*,1
Los Angeles Lakers*,1
Utah Jazz*,2
Los Angeles Clippers*,3
Miami Heat*,1
Philadelphia 76ers*,2
Phoenix Suns*,4
Denver Nuggets*,2
Dallas Mavericks*,1
Boston Celtics*,1
Atlanta Hawks*,3
Memphis Grizzlies*,1
Brooklyn Nets*,2
Milwaukee Bucks*,5
Portland Trail Blazers*,1
Washington Wizards*,1
