Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
New York Knicks*,37.9,86.2,.440,12.0,35.6,.337,25.9,50.6,.512,16.9,22.2,.761,9.7,34.4,44.1,23.6,6.6,5.4,12.8,17.9,104.7
Los Angeles Lakers*,39.8,86.4,.460,11.4,32.2,.352,28.4,54.2,.524,15.9,20.5,.776,8.8,33.2,42.0,24.7,8.2,4.5,15.2,21.3,106.8
Utah Jazz*,40.9,91.4,.447,10.9,31.8,.341,30.0,59.6,.504,14.5,18.9,.768,9.8,32.8,42.6,22.3,7.7,3.9,11.5,19.0,107.2
Los Angeles Clippers*,40.1,86.4,.464,11.6,32.5,.356,28.5,53.9,.529,16.1,20.7,.777,9.2,32.0,41.2,22.9,7.1,4.2,12.8,18.1,107.8
Miami Heat*,39.1,85.2,.459,14.3,39.1,.365,24.8,46.2,.538,15.6,19.9,.782,9.5,33.4,42.9,25.8,7.5,4.0,15.1,19.6,108.0
Philadelphia 76ers*,39.4,86.9,.453,11.9,33.0,.360,27.5,53.9,.510,17.4,22.8,.764,9.8,33.2,42.9,23.5,7.2,4.7,15.6,21.0,108.1
Phoenix Suns*,40.5,86.8,.467,11.6,32.8,.354,28.9,54.0,.535,16.8,21.7,.778,9.4,33.3,42.7,22.9,6.9,3.6,13.6,18.0,109.5
Denver Nuggets*,40.0,85.4,.469,13.0,35.7,.363,27.1,49.7,.545,17.1,22.1,.773,9.1,32.1,41.2,25.9,7.5,4.5,14.1,19.2,110.1
Dallas Mavericks*,40.1,87.1,.460,12.8,35.2,.365,27.2,51.8,.525,17.2,22.5,.764,9.8,34.2,43.9,22.7,7.3,3.7,12.6,20.1,110.2
Boston Celtics*,39.9,86.0,.464,12.8,34.3,.374,27.1,51.6,.524,18.5,23.5,.785,9.4,33.1,42.5,24.1,7.4,4.6,14.1,19.3,111.2
Atlanta Hawks*,41.3,89.1,.463,11.9,34.2,.349,29.3,55.0,.534,16.9,21.1,.803,10.0,32.7,42.7,24.4,7.7,5.0,12.3,19.8,111.4
Memphis Grizzlies*,41.0,88.7,.462,12.9,35.1,.367,28.2,53.6,.525,17.4,22.1,.788,9.8,34.9,44.7,25.4,7.7,5.2,14.8,18.3,112.3
Brooklyn Nets*,41.9,91.3,.459,13.2,36.2,.365,28.7,55.1,.521,17.1,22.0,.775,10.5,32.6,43.1,24.0,7.6,4.6,12.6,18.9,114.1
Milwaukee Bucks*,42.4,92.9,.456,14.8,38.6,.384,27.6,54.3,.507,14.6,18.8,.780,9.6,33.8,43.4,25.1,7.0,4.8,13.2,18.3,114.2
Portland Trail Blazers*,41.8,88.3,.473,12.9,34.6,.372,28.9,53.6,.538,17.9,22.8,.787,9.9,35.5,45.4,24.9,6.1,4.6,12.4,19.1,114.3
Washington Wizards*,43.1,91.6,.471,12.4,33.7,.369,30.7,57.9,.529,19.8,25.4,.781,10.3,35.8,46.1,24.5,8.2,4.8,14.7,22.0,118.5










