Team,all_stars
New York Knicks*,1
Los Angeles Lakers*,2
Utah Jazz*,3
Los Angeles Clippers*,2
Miami Heat*,0
Philadelphia 76ers*,2
Phoenix Suns*,2
Denver Nuggets*,1
Dallas Mavericks*,1
Boston Celtics*,2
Atlanta Hawks*,0
Memphis Grizzlies*,0
Brooklyn Nets*,3
Milwaukee Bucks*,1
Portland Trail Blazers*,1
Washington Wizards*,1
